PR_AUC,ROC_AUC,Precision,Recall,F1,Specificity,Balanced_Acc,Brier,MSE,RMSE,MAE,R2,ECE,FNR,CostRisk,tau_F1,tau_HR,tau_cost,cm_F1_tn,cm_F1_fp,cm_F1_fn,cm_F1_tp,cm_HR_tn,cm_HR_fp,cm_HR_fn,cm_HR_tp,Recall_HR,Precision_HR,FPR_HR,model,scenario,split,PR_AUC_std,FNR_std,model_code,model_name,tier,complexity_score,validation_protocol,step,Latency_ms,CompositeScore,best_PR_AUC,best_ROC_AUC,best_Precision,best_Recall,best_F1,best_Specificity,best_Balanced_Acc,best_CompositeScore,best_R2,best_FNR,best_Brier,best_MSE,best_RMSE,best_MAE,best_ECE,best_Latency_ms
1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.2115698317291506e-05,1.2115698317291506e-05,0.0034807611692403585,0.00012434154831482866,0.9998728529794128,0.00012434154831481318,0.0,0.0,0.7413793103448275,0.999,0.138,10720,0,0,1280,10720,0,12,1268,0.990625,1.0,0.0,C3,step3_noise,grouped,0.0,0.0,C3,Two-stage hybrid,Tier C,5.0,V2_grouped,step3_noise,19.74969750008313,0.9999765024884257,1,1,1,1,1,1,1,0,0,1,0,0,0,0,0,0
0.31925598624240525,0.7831509444962687,0.5090782122905028,0.56953125,0.5376106194690264,0.9344216417910448,0.7519764458955225,0.11190878877890077,0.11190878877890077,0.33452771003147225,0.1162541437363504,-0.17441592701738218,0.11431269660692274,0.43046875,5783.0,0.0025721312271479667,0.0,0.002,10017,703,551,729,0,10720,0,1280,1.0,0.10666666666666667,1.0,A1,step3_noise,leave-level-out,0.35568008677809576,0.19597286804359745,A1,Logistic + interactions,Tier A,1.0,V3_leave_Sgn,step3_noise,5.103576250257902,0.5151279119943634,1,1,1,0,1,1,1,0,0,0,0,0,0,0,0,0
0.10666666666666667,0.5,0.10666666666666667,1.0,0.1927710843373494,0.0,0.5,0.10666666666666667,0.10666666666666667,0.32659863237109044,0.10666666666666667,-0.11940298507462677,0.10666666666666667,0.0,10720.0,0.0,0.0,0.0,0,10720,0,1280,0,10720,0,1280,1.0,0.10666666666666667,1.0,A2,step3_noise,leave-level-out,0.14163242538250234,0.0,A2,Shallow Decision Tree,Tier A,1.6,V3_leave_Sgn,step3_noise,3.406412500044098,0.584,0,0,0,1,0,0,0,0,0,1,0,0,0,1,0,0
0.10636404741626389,0.49814369315531715,0.10666666666666667,1.0,0.1927710843373494,0.0,0.5,0.10665242730558354,0.10665242730558354,0.32657683216294375,0.10685103898901677,-0.11925355148117056,0.10646303560594013,0.0,10720.0,0.0,0.0,0.0,0,10720,0,1280,0,10720,0,1280,1.0,0.10666666666666667,1.0,B1,step3_noise,leave-level-out,0.12606801332522272,0.30743773095067284,B1,Random Forest (tuned),Tier B,3.0,V3_leave_Sgn,step3_noise,18.55668750067707,0.5839151927033811,0,0,0,1,0,0,0,0,1,1,1,1,1,0,0,0
0.10316790629427243,0.145463575676306,0.10666666666666667,1.0,0.1927710843373494,0.0,0.5,0.10666653408612073,0.10666653408612073,0.32659842939934774,0.10667164498259403,-0.11940159372094983,0.10666155573233653,0.0,10720.0,3.546231421259651e-07,0.0,0.0,0,10720,0,1280,0,10720,0,1280,1.0,0.10666666666666667,1.0,B2,step3_noise,leave-level-out,0.12686622519070695,0.0,B2,Gradient Boosting,Tier B,3.4,V3_leave_Sgn,step3_noise,23.97761750034988,0.5826013155234102,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0
0.10666666666666667,0.5,0.10666666666666667,1.0,0.1927710843373494,0.0,0.5,0.10666666666666667,0.10666666666666667,0.32659863237109044,0.10666666666666667,-0.11940298507462677,0.10666666666666667,0.0,10720.0,0.0,0.0,0.0,0,10720,0,1280,0,10720,0,1280,1.0,0.10666666666666667,1.0,B3,step3_noise,leave-level-out,0.14163242538250234,0.0,B3,Calibrated B2 (isotonic),Tier B,3.8,V3_leave_Sgn,step3_noise,41.639507500076434,0.584,0,0,0,1,0,0,0,0,0,1,0,0,0,1,0,0
0.09751575538788118,0.15199309847248138,0.10666666666666667,1.0,0.1927710843373494,0.0,0.5,0.12320502902212185,0.12320502902212185,0.35100573930082946,0.20901186851860165,-0.29296322434596167,0.19641056005675486,0.0,10720.0,4.4710884008101596e-07,0.0,0.0,0,10720,0,1280,0,10720,0,1280,1.0,0.10666666666666667,1.0,C1,step3_noise,leave-level-out,0.13409039601103767,0.3279335796807177,C1,Monotonic-constrained GBM,Tier C,4.4,V3_leave_Sgn,step3_noise,18.01267875052872,0.5602627065377905,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0
0.07848521950740468,0.34316989272388054,0.14463197374589778,0.9640625,0.25152874031797795,0.31921641791044775,0.6416394589552239,0.11069578552649614,0.11069578552649614,0.3327097616940269,0.1269216649056005,-0.16168618206444174,0.10134323515673532,0.0359375,7775.0,0.004925133858236138,0.005,0.004,3422,7298,46,1234,3423,7297,49,1231,0.96171875,0.14434803001876173,0.6806902985074627,C2,step3_noise,leave-level-out,0.08245509144846903,0.0,C2,Physics-regularized logistic,Tier C,2.6,V3_leave_Sgn,step3_noise,2.251593750406755,0.559336163318853,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1
0.10666666666666667,0.5,0.10666666666666667,1.0,0.1927710843373494,0.0,0.5,0.10666645333433333,0.10666645333433333,0.32659830577382565,0.10666745333333336,-0.1194007462791511,0.10666566666666667,0.0,10720.0,1e-06,0.0,0.0,0,10720,0,1280,0,10720,0,1280,1.0,0.10666666666666667,1.0,C3,step3_noise,leave-level-out,0.14163242538250234,0.0,C3,Two-stage hybrid,Tier C,5.0,V3_leave_Sgn,step3_noise,19.74969750008313,0.5840002353329333,0,0,0,1,0,0,0,1,0,1,0,0,0,0,0,0
0.910758777752048,0.9900241954291045,0.8159303882195449,0.95234375,0.8788752703677001,0.9743470149253731,0.9633453824626865,0.04702235768236791,0.04702235768236791,0.21684639190534832,0.06491485744372427,0.5065284291729113,0.06297969302936993,0.04765625,531.0,0.9803081906628351,0.98,0.7020000000000001,10445,275,61,1219,10444,276,61,1219,0.95234375,0.8153846153846154,0.025746268656716417,A1,step3_noise,leave-level-out,0.09391874612022606,0.025928943957053138,A1,Logistic + interactions,Tier A,1.0,V3_leave_Ik,step3_noise,5.103576250257902,0.9193679265734666,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.9995888480819748,0.999966694846082,1.0,0.98203125,0.9909341742215215,1.0,0.991015625,0.002336604086076938,0.002336604086076938,0.048338432805345874,0.003035340998022858,0.9754787351041366,0.0024168355308563398,0.01796875,39.0,1.0,1.0,0.001,10720,0,23,1257,10720,0,23,1257,0.98203125,1.0,0.0,A2,step3_noise,leave-level-out,0.0005308394830864156,0.012200822403483962,A2,Shallow Decision Tree,Tier A,1.6,V3_leave_Ik,step3_noise,3.406412500044098,0.9922493097687306,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0
1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.00249720914192013,0.00249720914192013,0.04997208362596191,0.010041824573545348,0.9737932809266777,0.01004182457354535,0.0,0.0,0.627539647650325,0.65,0.439,10720,0,0,1280,10720,0,51,1229,0.96015625,1.0,0.0,B1,step3_noise,leave-level-out,0.0,0.0,B1,Random Forest (tuned),Tier B,3.0,V3_leave_Ik,step3_noise,18.55668750067707,0.9974948426572001,1,1,1,1,1,1,1,0,0,1,0,0,0,0,0,0
1.0,1.0,1.0,1.0,1.0,1.0,1.0,5.636919846652893e-10,5.636919846652893e-10,2.374219839579497e-05,1.0185200113195901e-05,0.9999999940843891,1.018520011320667e-05,0.0,0.0,0.9993712991315951,0.999,0.001,10720,0,0,1280,10720,0,0,1280,1.0,1.0,0.0,B2,step3_noise,leave-level-out,0.0,0.0,B2,Gradient Boosting,Tier B,3.4,V3_leave_Ik,step3_noise,23.97761750034988,0.9999984719945063,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0
0.9986041666666666,0.999218021222015,1.0,0.9984375,0.9992181391712275,1.0,0.99921875,0.0007333788758623047,0.0007333788758623047,0.027080968887067257,0.0015045254767381154,0.9923036265359599,0.0014762367528578693,0.0015625,20.0,0.4059349204791497,1.0,0.036000000000000004,10720,0,2,1278,10720,0,60,1220,0.953125,1.0,0.0,B3,step3_noise,leave-level-out,0.00202373690168155,0.0022773165255605392,B3,Calibrated B2 (isotonic),Tier B,3.8,V3_leave_Ik,step3_noise,41.639507500076434,0.998380004603393,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0
0.17760388758837733,0.5522243397271456,0.14611072179397336,0.32578125,0.20174165457184326,0.7726679104477612,0.5492245802238807,0.0932971743337075,0.0932971743337075,0.30544586154293774,0.1897528040062913,0.020901855173312223,0.029818495485882827,0.67421875,10720.0,0.13708600067189308,0.046,0.0,8283,2437,863,417,485,10235,55,1225,0.95703125,0.10689354275741711,0.9547574626865671,C1,step3_noise,leave-level-out,0.010764962859259278,0.06186436889577125,C1,Monotonic-constrained GBM,Tier C,4.4,V3_leave_Ik,step3_noise,18.01267875052872,0.39327334847898554,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.9925157932261096,0.9987767461520523,0.9884678747940692,0.9375,0.9623095429029672,0.9986940298507463,0.9680970149253731,0.03466624125798171,0.03466624125798171,0.18618872484117213,0.09328222841721098,0.6361984942609196,0.08668493023980327,0.0625,313.0,0.8023755392321588,0.741,0.653,10706,14,80,1200,10653,67,64,1216,0.95,0.9477786438035853,0.00625,C2,step3_noise,leave-level-out,0.003247624333832684,0.002999912633724826,C2,Physics-regularized logistic,Tier C,2.6,V3_leave_Ik,step3_noise,2.251593750406755,0.9482620812512808,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0013383226807519466,0.0013383226807519466,0.03658309282649495,0.0053279488923762075,0.9859551024641237,0.005327948892376189,0.0,0.0,0.5967741935483872,0.717,0.299,10720,0,0,1280,10720,0,62,1218,0.9515625,1.0,0.0,C3,step3_noise,leave-level-out,0.0,0.0,C3,Two-stage hybrid,Tier C,5.0,V3_leave_Ik,step3_noise,19.74969750008313,0.9986654785938429,1,1,1,1,1,1,1,0,0,1,0,0,0,0,0,0
